1,1,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
1,2,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
1,3,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
1,4,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
1,5,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,on,off,off,on
1,6,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,on,off,on,on
1,7,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,on,off,on,on
1,8,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,on,on,on,on
1,9,on,on,on,on,on,on,on,on,on,on,on,on,None,on,on,on,on,on,on
2,1,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
2,2,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
2,3,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
2,4,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
2,5,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
2,6,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
2,7,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
2,8,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
2,9,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,on,off,off,on
3,1,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
3,2,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
3,3,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
3,4,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
3,5,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
3,6,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
3,7,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
3,8,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
3,9,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
4,1,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
4,2,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
4,3,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
4,4,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
4,5,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
4,6,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
4,7,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
4,8,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
4,9,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
5,1,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
5,2,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
5,3,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
5,4,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
5,5,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
5,6,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
5,7,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
5,8,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
5,9,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
6,1,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
6,2,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
6,3,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
6,4,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
6,5,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
6,6,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
6,7,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
6,8,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
6,9,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
7,1,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
7,2,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
7,3,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
7,4,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
7,5,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
7,6,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
7,7,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
7,8,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
7,9,on,on,on,on,on,on,on,on,on,on,on,on,None,on,off,off,off,off,off
8,1,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
8,2,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
8,3,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
8,4,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
8,5,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
8,6,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
8,7,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
8,8,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
8,9,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
9,1,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
9,2,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
9,3,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
9,4,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
9,5,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
9,6,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
9,7,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
9,8,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
9,9,on,on,on,on,on,on,on,on,on,on,on,on,None,off,off,off,off,off,off
